bzn,rows,valid_hours,forecast_runs,mean_price,negative_price_rate
AT,7200,588,30,65.36120138888889,0.09847222222222222
DE-LU,7200,588,30,70.68988888888889,0.10138888888888889
FR,7200,588,30,32.053641666666664,0.09944444444444445
