model,outcome,term,coefficient,std_error_two_way_clustered,t_value,p_value,ci_low,ci_high,n,r_squared
price_level_multi_zone,price_day_ahead,Intercept,55.211256142284604,2.8342837699324934,19.47979123614698,3.3495984648652884e-18,49.414494961803044,61.008017322766165,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(bzn)[T.DE-LU],5.351960949404194,0.803510633838644,6.66072199173775,2.646296208962424e-07,3.708597183308563,6.995324715499826,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(bzn)[T.FR],-33.31067121454091,1.7604271866910122,-18.921925011368025,7.330026416944814e-18,-36.911149079577655,-29.71019334950417,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.1],-1.4721613088580452,2.3902800757597085,-0.6158949002619053,0.5427681253764312,-6.3608329728010045,3.4165103550849145,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.2],-3.472412699462971,2.320168200470934,-1.4966211065034687,0.14529716471019982,-8.217689477799818,1.2728640788738752,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.3],-1.3701257832687341,2.184370381211595,-0.6272405975898522,0.5354092279527185,-5.8376648363194015,3.097413269781933,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.4],5.530272264664962,2.7942761435093963,1.979143069846835,0.05736436977523074,-0.1846641323447109,11.245208661674635,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.5],13.16496309518265,3.8497444920113737,3.4196978844963186,0.0018813321127738314,5.291351545483882,21.038574644881418,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.6],5.632574166975905,2.898103009349427,1.9435382899796647,0.0617127285760343,-0.2947120136995345,11.559860347651345,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.7],-5.057471410761301,2.3053209502969882,-2.1938252936580307,0.03641198484723997,-9.772382152938235,-0.34256066858436807,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.8],-12.571859415206314,2.3088675399756045,-5.445032769328615,7.3683045238315795e-06,-17.294023747722434,-7.849695082690193,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.9],-17.32017906961549,2.2231216806096232,-7.790927154678264,1.3636888624483801e-08,-21.866973428866167,-12.773384710364818,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.10],-21.536391359501152,2.4641405943409422,-8.739919876715177,1.2767734988883549e-09,-26.576124745429745,-16.49665797357256,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.11],-25.26043988633047,3.010646735088529,-8.3903699467376,3.0135548379539355e-09,-31.417903830923574,-19.102975941737366,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.12],-28.30727755105593,3.5693699980134994,-7.930608921689286,9.553338807711092e-09,-35.60745887473229,-21.00709622737957,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.13],-23.504724912892446,3.0428247080722777,-7.724639822509988,1.6159799993404554e-08,-29.728000201655657,-17.281449624129234,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.14],-14.415876532972188,2.4863267004391076,-5.7980620690057405,2.7756025155681245e-06,-19.50098560073625,-9.330767465208126,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.15],-6.846403207664437,2.257428859725249,-3.032832320792475,0.005065774342937949,-11.463363626580346,-2.2294427887485293,21510,0.8371607404699599
price_level_multi_zone,price_day_ahead,C(hour_utc)[T.16],2.30473955123275,2.1245487619536845,1.0848136754994349,0.28694051890432587,-2.040450552871262,6.649929655336763,21510,0.8371607404699599
