horizon_bin_start_hours,rows,mean_price,price_std,negative_price_rate,mean_temperature_error,mean_wind_error,mean_radiation_error,mean_load_forecast_error
0,24,54.338750000000005,27.663257268756176,0.0,0.725,2.8229166666666665,47.93478260869565,928.6572916666659
24,24,28.07166666666667,44.708839964983355,0.25,1.05625,2.4375,46.4375,-392.67812500000065
48,24,118.14208333333333,43.96453936478773,0.0,0.9520833333333331,1.7270833333333335,35.104166666666664,1129.440624999999
72,24,102.81208333333335,48.68537759043458,0.0,1.1624999999999999,2.2416666666666667,36.766666666666666,2502.3104166666676
96,24,85.15666666666667,40.21939545809325,0.0,1.6145833333333333,2.4,62.41041666666666,753.0864583333329
120,24,86.94958333333334,41.19023338008413,0.0,4.1125,2.3979166666666667,80.48333333333333,2928.720833333334
144,24,82.78166666666667,40.80986002625247,0.0,2.84375,2.6770833333333335,35.68958333333333,3136.4354166666667
168,24,43.86333333333334,44.77587031336008,0.2916666666666667,3.670833333333334,2.2145833333333336,171.8708333333333,2368.709374999999
192,24,27.575416666666666,49.94062326395971,0.4166666666666667,2.060416666666667,4.825,134.65416666666667,2299.7156250000003
216,24,91.45791666666666,30.696672667608766,0.0,2.0854166666666667,5.6375,66.27291666666666,2171.9333333333348
