model,outcome,term,coefficient,std_error_two_way_clustered,t_value,p_value,ci_low,ci_high,n,r_squared
price_level_vintage_panel,price_day_ahead,Intercept,50.589891781239146,4.872857899298734,10.38197559352586,1.6701072992910722e-05,39.06741381799189,62.1123697444864,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.1],-3.6662729709962436,4.564956435604114,-0.803134273615704,0.4483041973848281,-14.460679666090286,7.1281337240977996,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.2],-6.027345453542097,4.845835161431145,-1.2438197447397303,0.2536011573114631,-17.485924795483218,5.431233888399024,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.3],-5.619378692189895,5.4168898544571755,-1.0373810144147764,0.3340590425566566,-18.42828781024624,7.18953042586645,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.4],7.596946288226793,5.739899455522399,1.3235329899233192,0.22724558705239276,-5.975759166005691,21.169651742459276,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.5],28.120062437116076,9.61591342952815,2.924325665283773,0.022202858997158337,5.382040340437069,50.85808453379508,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.6],18.078447179657836,5.673831606431907,3.1862854652161237,0.015355770057140507,4.661967363635302,31.49492699568037,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.7],16.339842232111046,4.042897103261883,4.041617141066431,0.004922773686804306,6.779909695043781,25.89977476917831,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.8],20.703579574551576,5.5291695470193405,3.744428417050883,0.00722070046133055,7.629171172501353,33.7779879766018,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.9],21.702427570836285,5.868634707000252,3.6980368781429,0.007674824378818988,7.825311618924374,35.579543522748196,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.10],19.27403493975457,6.683007661999004,2.884036038047781,0.02351563458742947,3.4712329486113322,35.07683693089781,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.11],15.353268670701251,6.816873385175956,2.2522449520756287,0.059002411650341646,-0.7660754559232146,31.472612797325716,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.12],9.77442970227827,7.196942558900221,1.3581364061591066,0.21656711797464256,-7.243635209817425,26.792494614373965,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.13],10.0331773216646,6.359513642841854,1.5776642499946123,0.15864979350977454,-5.004682866534422,25.071037509863622,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.14],14.374937086420463,5.546614447517532,2.591659691229156,0.03585799876382686,1.2592780495855926,27.490596123255333,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.15],10.840295712771397,4.652416271834756,2.3300356372660413,0.05261113993949784,-0.16092063211395669,21.84151205765675,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.16],11.217638097926628,4.722344355644797,2.375438395236417,0.04921106918284915,0.05106811019664015,22.384208085656617,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.17],25.66873584717511,6.861544420850131,3.7409560111825098,0.0072536604037569405,9.443761506251725,41.893710188098495,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.18],44.00197147043258,9.092724550999538,4.8392504604789295,0.001879374711827496,22.50109448408596,65.50284845677919,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.19],30.919234535863055,5.0683765909633625,6.100421699324859,0.0004908775067990413,18.934428332665924,42.904040739060186,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.20],18.975753421661228,5.963917395926222,3.1817599342712244,0.015452754711108616,4.873329712757997,33.078177130564455,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.21],7.745995124791747,6.39470602478743,1.2113137171226314,0.26507639262019955,-7.375081823227099,22.867072072810593,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.22],6.542339813335479,5.394309530200058,1.212822470922028,0.26453421605258526,-6.213175322373658,19.297854949044616,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(hour_utc)[T.23],5.485896157804505,4.9393102489377485,1.1106603718574481,0.30340316548112395,-6.193716642974489,17.165508958583498,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-02],0.8302921398100029,4.997135629902294,0.16615361305016993,0.8727333474143696,-10.986055959155346,12.646640238775353,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-03],23.916491094361128,6.428504657466141,3.720381701300353,0.007452335563657556,8.715493079839524,39.11748910888273,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-04],15.223594540885792,5.91990138011133,2.5715959715192915,0.03692186695194543,1.2252521704369457,29.221936911334637,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-05],17.93614345569102,3.8844450915293787,4.617427465972811,0.002433523594749935,8.750890388280098,27.121396523101943,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-06],3.3831026573679726,4.3286597423263755,0.7815589255693665,0.4600864765278676,-6.852551146230349,13.618756460966294,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-07],1.8993671792255307,4.521795993465852,0.42004707465135105,0.6870439290245505,-8.792981287678911,12.591715646129972,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-08],15.084002645335065,4.543118645393333,3.3201868193845345,0.012761751668353746,4.341234118574629,25.8267711720955,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-09],-2.479270220872449,5.626050887268996,-0.44067682119312274,0.6727351503313457,-15.78276658960382,10.824226147858923,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,C(valid_date)[T.2024-06-10],22.060113394455392,3.5531700426757893,6.208572381704131,0.00044155380455533535,13.658201341511251,30.462025447399533,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_temperature_absolute_error,1.7191699596822745,1.181706094378769,1.454820253411703,0.18904670659797143,-1.0751209293407542,4.513460848705304,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_wind_speed_absolute_error,-0.14610574267916562,0.7489964059156743,-0.1950686832743159,0.8508802813011713,-1.9172008084632024,1.624989323104871,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_shortwave_radiation_absolute_error,-0.9167693106957587,0.6538950812348616,-1.4020128565036258,0.20366439015320925,-2.4629854777809466,0.629446856389429,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_precipitation_absolute_error,-0.7373835910813966,0.5760445586524556,-1.2800808201475982,0.24130269210167837,-2.0995125244690556,0.6247453423062621,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_load_forecast_error_mw,-1.0249301224002494,2.007075629681253,-0.5106584461707705,0.6252961407067743,-5.770909831125398,3.7210495863248996,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_solar_forecast_error_mw,-8.331982594611654,1.6046054892735955,-5.192542746680706,0.0012633250095656166,-12.126271648786904,-4.537693540436405,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_wind_onshore_forecast_error_mw,1.0390273839414625,1.484308425718549,0.7000077382424563,0.5065130066392366,-2.4708043163561255,4.548859084239051,1576,0.9256851854847962
price_level_vintage_panel,price_day_ahead,z_actual_residual_load,41.918652602087064,2.282868251489984,18.362274114911173,3.519821125036087e-07,36.52052697142263,47.316778232751496,1576,0.9256851854847962
price_level_regime_interactions,price_day_ahead,Intercept,49.23085472673839,5.305889003772105,9.278530834651612,3.497154035012994e-05,36.684420912159396,61.77728854131739,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.1],-3.590340127669706,4.616931388424354,-0.7776464117858596,0.4622456980920008,-14.507648056677878,7.326967801338467,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.2],-5.881582068123719,4.943337019164319,-1.189799935817043,0.27290980002505455,-17.570716667436052,5.807552531188613,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.3],-5.0654410013032445,5.559939806241461,-0.9110604031390586,0.39255561801119354,-18.21260950453789,8.0817275019314,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.4],8.45185944499588,5.773580912284913,1.4638851647531566,0.18663452197042366,-5.200489998726217,22.104208888717977,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.5],28.850669857255998,9.300937137563988,3.1019099936431016,0.0172759652661054,6.857448339232217,50.84389137527978,1576,0.9268353467461411
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.6],19.711955088037907,5.9607352802962925,3.3069670369689823,0.012995617123284037,5.617055886924581,33.80685428915123,1576,0.9268353467461411
