condition,rows,mean_price_eur_mwh,median_price_eur_mwh,negative_price_rate,price_spike_rate,mean_renewable_share
all,17546,35.80928791334093,36.15,0.027584634674569702,0.0014818192180553972,0.3484587091493646
rain,3956,33.8321157735086,35.29,0.038928210313447925,0.0002527805864509606,0.39770476232954416
no_rain,13590,36.385089811543,36.44,0.024282560706401765,0.001839587932303164,0.3340948231078702
high_wind,312,18.684102564102567,20.195,0.1762820512820513,0.0,0.6313290123735615
not_high_wind,17234,36.1194259345252,36.35,0.02489265405593594,0.001508645700359754,0.3433296608198506
cold,785,48.77355414012739,48.51,0.003821656050955414,0.01019108280254777,0.23848269895954013
not_cold,16761,35.201890182035214,35.86,0.02869757174392936,0.0010739216037229282,0.3536039777905353
