audited_at_utc,layer,dataset,batch_id,artifact_path,report_path,report_layer,rows,parquet_file_count,parquet_bytes,manifest_file_count,manifest_bytes,match_rate,status,failed_checks,check_count,passed_check_count,lineage_bronze_batch,lineage_silver_output,lineage_bronze_run,lineage_silver_batch,lineage_forecast_silver_batch,lineage_actual_weather_silver_batch
2026-08-16T11:06:30+00:00,silver,energy_charts,20260816T044724Z,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z/country=de/bzn=DE-LU,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z/country=de/bzn=DE-LU/quality_report.json,silver,24165.0,26,739425,0,0,,COMPLETE,[],3,3,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z/country=de/bzn=DE-LU,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z/country=de/bzn=DE-LU,,,,
2026-08-16T11:06:30+00:00,silver,energy_charts,20260816T103913Z,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z/country=de/bzn=DE-LU,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z/country=de/bzn=DE-LU/quality_report.json,silver,72645.0,26,1705826,0,0,,COMPLETE,[],3,3,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z/country=de/bzn=DE-LU,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z/country=de/bzn=DE-LU,,,,
2026-08-16T11:06:30+00:00,silver,energy_charts,20260816T110118Z,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z/country=fr/bzn=FR,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z/country=fr/bzn=FR/quality_report.json,silver,15840.0,22,517041,0,0,,COMPLETE,[],3,3,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z/country=fr/bzn=FR,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z/country=fr/bzn=FR,,,,
2026-08-16T11:06:30+00:00,silver,energy_charts,20260816T110417Z,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z/country=at/bzn=AT,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z/country=at/bzn=AT/quality_report.json,silver,55383.0,20,1169813,0,0,,COMPLETE,[],3,3,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z/country=at/bzn=AT,data_lake/silver/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z/country=at/bzn=AT,,,,
2026-08-16T11:06:30+00:00,silver,opsd_time_series,20260804T115229Z,data_lake/silver/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z,data_lake/silver/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z/quality_report.json,silver,13686403.0,72,206540739,0,0,,COMPLETE,[],4,4,data_lake/bronze/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z,data_lake/silver/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_forecast_vintage,20260804T123343Z,data_lake/silver/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z/run=2024-06-01T00-00Z,data_lake/silver/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z/run=2024-06-01T00-00Z/quality_report.json,silver,480.0,2,32841,0,0,,COMPLETE,[],3,3,,data_lake/silver/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z/run=2024-06-01T00-00Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z/run=2024-06-01T00-00Z,,,
2026-08-16T11:06:30+00:00,silver,weather_forecast_vintage_panel,20260816T100737Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T100737Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T100737Z/quality_report.json,silver,3840.0,8,144646,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T100737Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T100737Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_forecast_vintage_panel,20260816T103952Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T103952Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T103952Z/quality_report.json,silver,14400.0,30,550709,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T103952Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T103952Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_forecast_vintage_panel,20260816T105628Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T105628Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T105628Z/quality_report.json,silver,21600.0,45,826836,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T105628Z,data_lake/silver/weather_forecast_vintage_panel/ingestion_date=20260816/batch_id=20260816T105628Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_open_meteo,20260804T120600Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z/quality_report.json,silver,35136.0,50,1085241,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_open_meteo,20260804T124555Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z/quality_report.json,silver,480.0,2,28713,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z,data_lake/silver/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_open_meteo,20260816T103831Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z/quality_report.json,silver,1440.0,2,44858,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z,,,,
2026-08-16T11:06:30+00:00,silver,weather_open_meteo,20260816T105601Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T105601Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T105601Z/quality_report.json,silver,2160.0,3,67283,0,0,,COMPLETE,[],3,3,data_lake/bronze/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T105601Z,data_lake/silver/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T105601Z,,,,
