outcome,term,coefficient,std_error_clustered_by_region,t_value,p_value,ci_low,ci_high
price_day_ahead_eur_mwh,Intercept,25.277620979258533,1.1147205662705284,22.676195043057973,7.696359074790117e-114,23.092808816542203,27.462433141974863
price_day_ahead_eur_mwh,C(region)[T.DE_LU],6.107015539419426,3.1527091232446565,1.9370691366332908,0.052736892728581036,-0.07218079587095083,12.286211874709803
price_day_ahead_eur_mwh,C(region)[T.DK_1],6.4776588827618236,2.8073007755230077,2.307433154024979,0.021030684750022302,0.9754504689653656,11.979867296558282
price_day_ahead_eur_mwh,C(region)[T.DK_2],2.0376301584634047,1.2514405647393283,1.6282276728722131,0.10347661910580451,-0.41514827721814473,4.490408594144954
price_day_ahead_eur_mwh,C(region)[T.GB_GBN],10.260549509286404,1.195547898094897,8.582298982446932,9.299555023148465e-18,7.917318687227843,12.603780331344964
price_day_ahead_eur_mwh,C(region)[T.IT_NORD],14.926082004365323,0.8154653130926179,18.303760766670486,7.722916662391063e-75,13.327799360062112,16.524364648668534
price_day_ahead_eur_mwh,C(hour_utc)[T.1],-1.0617810221437207,0.19614381676626277,-5.413278071411272,6.18812777651535e-08,-1.4462158387958195,-0.677346205491622
price_day_ahead_eur_mwh,C(hour_utc)[T.2],-1.6670256909051167,0.5806728932672579,-2.870851576221001,0.004093676877735345,-2.805123648507613,-0.5289277333026203
price_day_ahead_eur_mwh,C(hour_utc)[T.3],-0.9465671770606259,0.9818176153161892,-0.9640967551349025,0.3349974193913081,-2.8708943424673583,0.9777599883461063
price_day_ahead_eur_mwh,C(hour_utc)[T.4],2.413408845011569,1.400281307160577,1.7235171480688858,0.08479504687511293,-0.33109208524783096,5.157909775270969
price_day_ahead_eur_mwh,C(hour_utc)[T.5],7.389382109173784,1.534619778356126,4.815122425366653,1.4710967221555889e-06,4.381582613632936,10.397181604714632
price_day_ahead_eur_mwh,C(hour_utc)[T.6],11.406761196941591,1.8071899752266285,6.31187719791946,2.7567094110820436e-10,7.864733932275567,14.948788461607617
price_day_ahead_eur_mwh,C(hour_utc)[T.7],12.692430579763855,1.4175362795949535,8.953866481209628,3.432439379936747e-19,9.914110524978845,15.470750634548864
price_day_ahead_eur_mwh,C(hour_utc)[T.8],12.286901407238698,1.114534060273698,11.024249365893208,2.9194390534173412e-28,10.102454789559056,14.47134802491834
price_day_ahead_eur_mwh,C(hour_utc)[T.9],11.23643416276187,1.0747542444424103,10.454886985434896,1.3916458959827537e-25,9.12995455142319,13.342913774100552
price_day_ahead_eur_mwh,C(hour_utc)[T.10],9.531661220791445,0.929161919024122,10.258342518817749,1.0855395511430899e-24,7.710537323698044,11.352785117884846
price_day_ahead_eur_mwh,C(hour_utc)[T.11],7.905879265783693,0.7965262634971878,9.925447066958647,3.226535435890039e-23,6.344716476588944,9.467042054978442
price_day_ahead_eur_mwh,C(hour_utc)[T.12],6.960384745910161,0.9950744580323795,6.994838114600336,2.6556538911072746e-12,5.010074646230983,8.910694845589338
price_day_ahead_eur_mwh,C(hour_utc)[T.13],6.86069808521606,1.3807327699760927,4.968881911403358,6.734006223253095e-07,4.1545115837886915,9.566884586643429
price_day_ahead_eur_mwh,C(hour_utc)[T.14],7.62616202339476,1.6668837503461416,4.575101306141551,4.7598960499489246e-06,4.359129906301268,10.893194140488252
price_day_ahead_eur_mwh,C(hour_utc)[T.15],10.193092312318152,1.3206237431889178,7.718392437580164,1.1780601461976176e-14,7.604717338539399,12.781467286096905
price_day_ahead_eur_mwh,C(hour_utc)[T.16],14.716871793744094,1.012942986068678,14.52882540888267,7.957318290760808e-48,12.731540022657027,16.70220356483116
