variable,n,bias_forecast_minus_actual,mae,rmse,max_absolute_error
temperature_error,480,-1.3295833333333333,2.0283333333333333,2.6525695089855796,7.600000000000001
wind_speed_error,480,-0.6289583333333333,2.938125,3.813219877391459,13.0
shortwave_radiation_error,478,-32.21276150627615,71.8621338912134,131.81995717184333,639.8
precipitation_error,478,0.09966527196652719,0.15539748953974897,0.3992225708647572,2.07
