model,outcome,term,coefficient,std_error_hac24,t_value,p_value_hac24,ci_low,ci_high,n,r_squared
price_level_baseline,price_day_ahead,Intercept,76.37052532237433,5.341448503923116,14.297718168823067,2.26102263485984e-46,65.90147862940967,86.839572015339,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.1],-2.8305709625818607,3.536643031923926,-0.8003552908878215,0.42350497688498767,-9.762263931327297,4.101122006163575,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.2],-4.920275815276708,4.317171552366087,-1.139698933803101,0.2544117515189954,-13.381776572995115,3.5412249424416986,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.3],-3.7680095212722553,5.409542908099573,-0.6965485966717279,0.48608533452560765,-14.370518793971486,6.834499751426977,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.4],9.452514996129926,7.318448443735943,1.291600954601325,0.1964953732976844,-4.891380376305731,23.79641036856558,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.5],25.495089899458076,11.56472917949372,2.204555723160843,0.02748528566549385,2.828637216690936,48.161542582225216,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.6],14.68232558775668,8.040974230972207,1.825938644499485,0.06785950433362409,-1.0776943055635044,30.442345481076863,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.7],8.69524071461406,6.55443852138593,1.3266187006321115,0.1846348465754395,-4.1512227261843275,21.541704155412447,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.8],7.732410933597369,8.138836660556642,0.9500634127566487,0.34208003241725693,-8.219415797147892,23.684237664342632,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.9],9.630848981465249,8.504118624184768,1.132492314262431,0.25742751379857864,-7.036917242193212,26.29861520512371,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.10],4.787626943101735,10.3259648925574,0.4636493531517323,0.6428989888741945,-15.450892351935778,25.026146238139248,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.11],0.6454794010756044,10.741506612305306,0.06009207314885912,0.9520823032663057,-20.40748669874164,21.69844550089285,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.12],-5.504043232960518,10.159497839705299,-0.5417633154514432,0.5879815660111992,-25.41629309979539,14.408206633874352,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.13],-4.094931675485347,8.819448275968242,-0.46430701188457113,0.6424278009944189,-21.38073265989697,13.19086930892628,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.14],2.8441401311956986,7.651824940627833,0.3716943543878745,0.7101204288852334,-12.15316116844019,17.841441430831587,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.15],5.99370358599591,5.172843735300382,1.1586863807800414,0.24658404421929414,-4.144883832846483,16.1322910048383,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.16],9.970671249837025,5.265125937006781,1.8937194226934944,0.05826226187000097,-0.34878596076397095,20.29012846043802,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.17],28.860611450425615,7.688576237239604,3.7537003679093797,0.00017424313032573534,13.791278933045504,43.92994396780573,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.18],47.52926167054183,10.250871810403785,4.636606773513992,3.541752786019165e-06,27.43792211201351,67.62060122907015,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.19],36.296516398183265,5.814752517880044,6.2421429435859,4.3161622483511875e-10,24.899810884124783,47.69322191224175,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.20],25.52011618174919,4.311433992413196,5.919171261036765,3.2356789558715615e-09,17.06986083489759,33.97037152860079,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.21],12.929523902469445,5.165567269990642,2.5030211062361927,0.012313820046491546,2.8051980935688974,23.053849711369992,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.22],8.945512213754325,4.774998019609451,1.873406476194933,0.06101227640663588,-0.4133119309302824,18.30433635843893,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(hour_utc)[T.23],6.411574070341396,4.173557232133041,1.536237246485425,0.1244802040457251,-1.7684477920560395,14.59159593273883,239,0.9205822869459259
